
L = 0.07
16.9149 0.0151 0.0000
16.9554 0.0000 0.0378
16.9561 0.0000 0.0152
16.9660 0.0000 0.0141
16.9701 0.0160 0.0000
16.9837 0.0149 0.0000
17.0311 0.0120 0.0000
17.0778 0.0000 0.0359
17.1210 0.0000 0.0071
17.1372 0.0049 0.0000
17.3514 0.0137 0.0000
17.4102 0.0035 0.0000
17.5059 0.0000 0.0266
17.5944 0.0000 0.0313
17.5960 0.0129 0.0000
17.7017 0.0000 0.0045
17.7616 0.0000 0.0298
17.7685 0.0000 0.0231
17.7748 0.0000 0.0070
17.7866 0.0023 0.0000
17.7992 0.0106 0.0000
17.8982 0.0032 0.0000
17.9190 0.0150 0.0000
17.9479 0.0000 0.0320
17.9860 0.0000 0.0232
18.0117 0.0000 0.0091
18.1184 0.0000 0.0254
18.1831 0.0000 0.0204
18.2006 0.0000 0.0301
18.2019 0.0067 0.0000
18.2160 0.0266 0.0103
18.2426 0.0000 0.0227
18.2876 0.0000 0.0130
18.3112 0.0092 0.0000
18.3123 0.0182 0.0000
18.3239 0.0000 0.0192
18.3612 0.0000 0.0390
18.4371 0.0000 0.0111
18.4811 0.0000 0.0174
18.4959 0.0000 0.0264
18.5740 0.0138 0.0000
18.5872 0.0000 0.0178
18.5985 0.0000 0.0095
18.6136 0.0048 0.0000
18.6814 0.0056 0.0000
18.7243 0.0070 0.0000
18.7511 0.0000 0.0222
18.7819 0.0083 0.0000
18.8110 0.0000 0.0266
18.8323 0.0103 0.0000
19.0573 0.0000 0.0279
19.0706 0.0057 0.0000
19.0958 0.0000 0.0167
19.1311 0.0155 0.0000
19.2007 0.0000 0.0267
19.2236 0.0000 0.0145
19.2415 0.0104 0.0000
19.2789 0.0000 0.0171
19.2840 0.0173 0.0000
19.2846 0.0000 0.0214
19.3311 0.0219 0.0000
19.3796 0.0000 0.0201
19.4373 0.0180 0.0000
19.4484 0.0000 0.0140
19.4925 0.0131 0.0000
19.5057 0.0000 0.0172
19.5312 0.0102 0.0000
19.5383 0.0000 0.0342
19.5720 0.0000 0.0137
19.6605 0.0000 0.0274
19.7082 0.0000 0.0234
19.7273 0.0000 0.0197
19.7504 0.0000 0.0370
19.7618 0.0063 0.0000
19.7998 0.0000 0.0363
19.8823 0.0141 0.0000
19.9192 0.0170 0.0000
19.9617 0.0281 0.0000
19.9636 0.0179 0.0000
19.9946 0.0000 0.0415
20.0168 0.0000 0.0167
20.0217 0.0000 0.0055
20.0383 0.0000 0.0136
20.0900 0.0000 0.0352
20.1219 0.0000 0.0528
20.2104 0.0154 0.0000
20.3113 0.0000 0.0212
20.3441 0.0000 0.0339
20.3616 0.0000 0.0442
20.3945 0.0026 0.0000
20.4327 0.0000 0.0206
20.4374 0.0023 0.0000
20.5094 0.0000 0.0140
20.5709 0.0000 0.0159
20.6063 0.0120 0.0000
20.6664 0.0000 0.0175
20.7498 0.0142 0.0000
20.7714 0.0000 0.0124
20.7781 0.0207 0.0000
20.7964 0.0000 0.0371
20.8376 0.0000 0.0236
20.9710 0.0302 0.0000
21.0137 0.0000 0.0190
21.1287 0.0000 0.0254
21.2211 0.0000 0.0107
21.2348 0.0089 0.0000
21.2462 0.0199 0.0000
21.2708 0.0216 0.0000
21.2894 0.0000 0.0493
21.3031 0.0142 0.0000
21.3183 0.0000 0.0324
21.3449 0.0000 0.0516
21.3582 0.0188 0.0000
21.3608 0.0166 0.0000
21.4494 0.0000 0.0032
21.5477 0.0000 0.0061
21.5545 0.0173 0.0000
21.6261 0.0000 0.0197
21.6262 0.0000 0.0180
21.6270 0.0183 0.0000
21.6284 0.0121 0.0000
21.7272 0.0000 0.0259
21.7610 0.0175 0.0000
21.7892 0.0052 0.0000
21.9342 0.0000 0.0105
21.9527 0.0000 0.0011
22.0249 0.0193 0.0000
22.0593 0.0113 0.0000
22.0603 0.0055 0.0000
22.0864 0.0220 0.0000
22.0884 0.0258 0.0000
22.1480 0.0012 0.0000
22.1551 0.0000 0.0142
22.1983 0.0000 0.0168
22.2353 0.0130 0.0000
22.2552 0.0104 0.0000
22.4035 0.0000 0.0190
22.4280 0.0000 0.0099
22.4593 0.0155 0.0000
22.5132 0.0133 0.0000
22.5369 0.0048 0.0000
22.5625 0.0362 0.0000
22.6031 0.0000 0.0125
22.6112 0.0154 0.0000
22.6524 0.0000 0.0209
22.6537 0.0180 0.0000
22.6630 0.0237 0.0000
22.7548 0.0000 0.0236
22.7770 0.0000 0.0119
22.7780 0.0127 0.0000
22.8035 0.0000 0.0148
22.8212 0.0185 0.0000
22.8758 0.0000 0.0058
22.8922 0.0152 0.0000
22.9858 0.0166 0.0000
22.9885 0.0168 0.0000
23.0263 0.0093 0.0000
23.0406 0.0033 0.0000
23.0432 0.0000 0.0308
23.0522 0.0293 0.0000
23.0974 0.0000 0.0328
23.2148 0.0000 0.0112
23.2276 0.0005 0.0082
23.2375 0.0000 0.0199
23.2386 0.0095 0.0000
23.2892 0.0000 0.0059
23.2924 0.0000 0.0096
23.2960 0.0099 0.0000
23.3417 0.0000 0.0077
23.3758 0.0000 0.0193
23.4347 0.0000 0.0148
23.4575 0.0000 0.0222
23.4709 0.0000 0.0256
23.5116 0.0000 0.0295
23.5316 0.0030 0.0000
23.5908 0.0165 0.0000
23.6210 0.0197 0.0000
23.6523 0.0261 0.0000
23.6525 0.0084 0.0000
23.6551 0.0209 0.0000
23.6613 0.0195 0.0000
23.6622 0.0177 0.0000
23.6728 0.0000 0.0260
23.6744 0.0207 0.0000
23.6922 0.0348 0.0000
23.6956 0.0000 0.0116
23.7054 0.0000 0.0270
23.7098 0.0272 0.0000
23.7129 0.0075 0.0000
23.7653 0.0000 0.0127
23.7690 0.0154 0.0000
23.7814 0.0000 0.0479
23.7837 0.0125 0.0000
23.8673 0.0000 0.0339
23.9141 0.0086 0.0000
23.9306 0.0144 0.0000
23.9489 0.0082 0.0000
23.9629 0.0075 0.0000
24.0239 0.0000 0.0089
24.1024 0.0000 0.0173
24.1274 0.0000 0.0324
24.1686 0.0000 0.0179
24.1923 0.0138 0.0000
24.3587 0.0000 0.0155
24.3778 0.0174 0.0000
24.3898 0.0000 0.0060
24.4242 0.0000 0.0016
24.6037 0.0186 0.0000
24.6090 0.0155 0.0000
24.6834 0.0188 0.0000
24.7002 0.0000 0.0185
24.7019 0.0000 0.0072
24.7035 0.0434 0.0000
24.7671 0.0238 0.0000
24.7829 0.0036 0.0000
24.7965 0.0182 0.0000
24.8044 0.0347 0.0000
24.8198 0.0260 0.0000
24.8533 0.0346 0.0000
24.8989 0.0000 0.0228
24.9518 0.0000 0.0136
24.9607 0.0117 0.0000
25.0082 0.0000 0.0139
25.0191 0.0000 0.0148
25.0293 0.0000 0.0098
25.0579 0.0191 0.0000
25.1167 0.0000 0.0082
25.1401 0.0001 0.0121
25.1714 0.0265 0.0000
25.1752 0.0203 0.0000
25.2029 0.0189 0.0000
25.2073 0.0000 0.0058
25.2131 0.0130 0.0000
25.2493 0.0087 0.0000
25.2675 0.0000 0.0374
25.3197 0.0000 0.0015
25.3841 0.0176 0.0000
25.4287 0.0083 0.0000
25.4287 0.0000 0.0121
25.4577 0.0000 0.0152
25.4842 0.0010 0.0000
25.4955 0.0000 0.0130
25.5721 0.0104 0.0000
25.6198 0.0097 0.0000
25.7481 0.0159 0.0000
25.8146 0.0168 0.0000
25.8425 0.0211 0.0000
25.9023 0.0111 0.0000
25.9427 0.0343 0.0000
25.9824 0.0225 0.0000
26.0053 0.0158 0.0000
26.0091 0.0000 0.0138
26.0783 0.0000 0.0231
26.1222 0.0375 0.0000
26.1536 0.0053 0.0000
26.2046 0.0000 0.0067
26.2787 0.0000 0.0223
26.3496 0.0000 0.0114
26.3655 0.0148 0.0000
26.3668 0.0260 0.0000
26.4694 0.0150 0.0000
26.5830 0.0130 0.0000
26.5977 0.0073 0.0000
26.6326 0.0000 0.0415
26.6920 0.0106 0.0000
26.7472 0.0000 0.0064
26.7593 0.0000 0.0415
26.7785 0.0000 0.0260
26.7802 0.0147 0.0000
26.8059 0.0000 0.0304
26.8181 0.0000 0.0128
26.8313 0.0298 0.0000
26.8331 0.0136 0.0000
26.8480 0.0171 0.0000
26.8885 0.0169 0.0000
26.8899 0.0087 0.0000
26.9366 0.0157 0.0000
26.9565 0.0047 0.0000
26.9885 0.0024 0.0000
27.0656 0.0235 0.0000
27.1053 0.0000 0.0099
27.1347 0.0049 0.0000
27.1764 0.0000 0.0091
27.1859 0.0195 0.0000
27.2520 0.0000 0.0312
27.2696 0.0104 0.0000
27.3094 0.0215 0.0000
27.3392 0.0000 0.0270
27.3474 0.0067 0.0000
27.3574 0.0178 0.0000
27.3643 0.0092 0.0000
27.3748 0.0000 0.0120
27.4094 0.0329 0.0000
27.4450 0.0206 0.0000
27.4990 0.0061 0.0000
27.5285 0.0194 0.0000
27.5332 0.0000 0.0218
27.5690 0.0000 0.0240
27.5922 0.0000 0.0165
27.7399 0.0090 0.0000
27.7923 0.0207 0.0000
27.8333 0.0204 0.0000
27.9039 0.0172 0.0000
27.9184 0.0336 0.0000
27.9327 0.0000 0.0193
27.9592 0.0000 0.0117
27.9807 0.0231 0.0000
27.9830 0.0000 0.0184
28.0077 0.0000 0.0230
28.0147 0.0077 0.0000
28.0904 0.0131 0.0000
28.0909 0.0000 0.0195
28.0988 0.0000 0.0057
28.0995 0.0273 0.0000
28.1647 0.0317 0.0000
28.2088 0.0000 0.0143
28.2174 0.0050 0.0000
28.2668 0.0000 0.0163
28.3403 0.0198 0.0000
28.3469 0.0037 0.0000
28.3771 0.0039 0.0000
28.4996 0.0162 0.0000
28.5347 0.0087 0.0000
28.5719 0.0032 0.0000
28.6061 0.0265 0.0000
28.6325 0.0277 0.0000
28.6406 0.0280 0.0000
28.6522 0.0150 0.0000
28.7262 0.0266 0.0000
28.7272 0.0236 0.0000
28.7980 0.0218 0.0000
28.9184 0.0062 0.0000
28.9394 0.0236 0.0151
28.9406 0.0000 0.0089
28.9823 0.0224 0.0000
29.0446 0.0089 0.0000
29.0458 0.0000 0.0061
29.0567 0.0000 0.0047
29.0793 0.0166 0.0000
29.0905 0.0000 0.0253
29.1340 0.0237 0.0000
29.2157 0.0000 0.0127
29.2451 0.0123 0.0000
29.4088 0.0197 0.0000
29.4963 0.0152 0.0000
29.5217 0.0065 0.0000
29.5447 0.0176 0.0000
29.5772 0.0157 0.0000
29.6195 0.0078 0.0000
29.7064 0.0270 0.0000
29.7760 0.0039 0.0000
29.7845 0.0026 0.0000
29.8472 0.0403 0.0000
29.8581 0.0261 0.0000
29.8638 0.0145 0.0000
29.8720 0.0000 0.0045
29.8772 0.0314 0.0000
29.9120 0.0336 0.0000
30.0403 0.0229 0.0000
30.0688 0.0210 0.0000
30.0843 0.0302 0.0000
30.1077 0.0093 0.0000
30.1466 0.0019 0.0000
30.1814 0.0074 0.0000
30.1952 0.0000 0.0223
30.2714 0.0103 0.0000
30.2818 0.0000 0.0317
30.3119 0.0097 0.0000
30.3194 0.0105 0.0000
30.4133 0.0260 0.0000
30.4166 0.0000 0.0146
30.4353 0.0241 0.0000
30.4361 0.0000 0.0086
30.4679 0.0000 0.0236
30.4870 0.0070 0.0000
30.5050 0.0000 0.0329
30.5593 0.0153 0.0000
30.5629 0.0177 0.0000
30.5641 0.0151 0.0000
30.6456 0.0171 0.0000
30.6497 0.0226 0.0000
30.6573 0.0000 0.0239
30.6829 0.0124 0.0000
30.7320 0.0100 0.0000
30.7563 0.0032 0.0000
30.8754 0.0285 0.0000
30.8914 0.0222 0.0000
30.9066 0.0000 0.0105
30.9070 0.0000 0.0248
30.9094 0.0085 0.0000
30.9813 0.0000 0.0296
31.0016 0.0211 0.0000
31.0354 0.0133 0.0000
31.0520 0.0072 0.0000
31.0803 0.0186 0.0000
31.1018 0.0200 0.0000
31.1212 0.0000 0.0306
31.1349 0.0365 0.0000
31.1441 0.0000 0.0135
31.1749 0.0186 0.0000
31.2202 0.0089 0.0000
31.2361 0.0000 0.0075
31.2601 0.0000 0.0224
31.3078 0.0000 0.0134
31.3417 0.0000 0.0103
31.3671 0.0123 0.0000
31.4953 0.0300 0.0000
31.5052 0.0165 0.0000
31.5138 0.0364 0.0000
31.5206 0.0126 0.0000
31.5229 0.0085 0.0000
31.5266 0.0190 0.0000
31.5562 0.0137 0.0000
31.5755 0.0055 0.0000
31.5949 0.0074 0.0000
31.6180 0.0058 0.0000
31.6740 0.0000 0.0169
31.6938 0.0000 0.0042
31.7085 0.0132 0.0000
31.7344 0.0174 0.0000
31.7353 0.0067 0.0000
31.7930 0.0089 0.0000
31.8603 0.0000 0.0074
31.8961 0.0000 0.0218
31.9070 0.0214 0.0000
31.9233 0.0321 0.0000
31.9408 0.0115 0.0000
31.9667 0.0000 0.0176
31.9816 0.0128 0.0000
32.0495 0.0000 0.0096
32.0670 0.0224 0.0000
32.0745 0.0081 0.0000
32.0780 0.0225 0.0000
32.0788 0.0108 0.0000
32.0961 0.0000 0.0237
32.1371 0.0025 0.0000
32.1480 0.0083 0.0000
32.2119 0.0000 0.0144
32.2622 0.0065 0.0000
32.3471 0.0000 0.0186
32.4204 0.0026 0.0000
32.5302 0.0142 0.0000
32.5575 0.0214 0.0000
32.5968 0.0022 0.0000
32.5982 0.0201 0.0000
32.6113 0.0237 0.0000
32.6453 0.0000 0.0218
32.6773 0.0177 0.0000
32.6920 0.0188 0.0000
32.7412 0.0000 0.0098
32.7702 0.0138 0.0000
32.8538 0.0000 0.0201
32.9779 0.0173 0.0000
33.1072 0.0038 0.0107
33.1225 0.0124 0.0000
33.1736 0.0202 0.0000
33.2058 0.0164 0.0000
33.2082 0.0000 0.0188
33.2427 0.0062 0.0000
33.2724 0.0186 0.0000
33.2897 0.0000 0.0129
33.3339 0.0000 0.0176
33.3598 0.0272 0.0000
33.4067 0.0249 0.0000
33.4300 0.0000 0.0289
33.4717 0.0200 0.0013
33.4724 0.0000 0.0229
33.5051 0.0251 0.0000
33.5058 0.0088 0.0000
33.5163 0.0000 0.0104
33.5389 0.0318 0.0000
33.5679 0.0118 0.0000
33.5906 0.0000 0.0032
33.7121 0.0066 0.0000
33.7463 0.0098 0.0000
33.7611 0.0000 0.0070
33.7669 0.0204 0.0000
33.7982 0.0000 0.0169
33.8056 0.0154 0.0000
33.8180 0.0000 0.0197
33.9884 0.0157 0.0000
33.9936 0.0000 0.0437
33.9990 0.0234 0.0000
34.0443 0.0251 0.0000
34.0496 0.0128 0.0000
34.0923 0.0098 0.0000
34.1153 0.0353 0.0000
34.2101 0.0147 0.0000
34.2534 0.0000 0.0341
34.2622 0.0000 0.0224
34.3153 0.0110 0.0000
34.3501 0.0106 0.0000
