0
<<<<<<< HEAD
0.051136 0.05937 2.876
0.033747 0.004901 227.3761
0.017913 0.085151 97.052
0.055933 0.005384 174.7003
0.021928 0.074681 80.3595
0.04518 0.033185 287.9841
0.00488 0.028607 109.0538
0.013884 0.039835 283.6249
0.023158 0.068083 116.0358
0.057839 0.075061 125.7883
0.040525 0.062467 150.4218
0.046345 0.021241 119.1104
0.062786 0.026312 286.1403
0.076263 0.031925 112.6226
0.030981 0.038734 33.1031
0.033459 0.050979 280.9289
0.070497 0.052865 319.2874
0.016046 0.022453 163.3917
0.031472 0.027136 90.7949
0.083813 0.039515 123.053
0.021537 0.035398 208.3012
0.018976 0.073658 159.189
0.013462 0.050804 137.731
0.059712 0.037216 159.2321
0.032392 0.016121 117.3513
0.051598 0.083181 177.9615
0.078641 0.051963 343.1951
0.022642 0.038233 315.6387
0.061272 0.051464 176.0672
0.082883 0.079421 190.6077
0.027366 0.053596 153.3875
0.048488 0.042589 52.2809
0.075193 0.061008 285.9029
0.058759 0.058518 352.0498
0.041362 0.040126 186.956
0.064206 0.068068 49.0392
0.080648 0.024921 246.5504
0.00585 0.05748 211.6912
0.056064 0.066565 191.2075
0.069439 0.042609 351.9856
0.042135 0.075335 86.5915
0.027453 0.065635 351.0583
0.028572 0.034301 53.47
0.07158 0.018847 58.4676
0.033681 0.01149 164.1893
0.078152 0.02713 346.9656
0.004523 0.005575 10.9834
0.060913 0.067809 331.4132
0.00993 0.008559 177.4574
0.015561 0.033719 334.7851
0.075599 0.080448 18.3395
0.067933 0.066576 58.9784
0.060584 0.077733 265.5557
0.013813 0.061591 337.9788
0.072579 0.076401 193.9828
0.030498 0.069802 268.8425
0.014334 0.074532 347.4671
0.04989 0.015643 151.5403
0.068227 0.037832 347.8443
0.068589 0.028776 305.018
0.072094 0.08263 104.9453
0.075106 0.038271 29.139
0.077652 0.069761 268.0286
0.055696 0.059659 10.7862
0.071312 0.008626 65.4646
0.05076 0.077559 58.9255
0.052245 0.043894 148.561
0.064594 0.031237 285.2953
0.048241 0.082925 234.6582
0.018023 0.008362 3.7176
0.008018 0.082332 182.161
0.015725 0.011994 303.1135
0.046289 0.018028 272.4616
0.060917 0.07458 140.1857
0.007704 0.054825 70.4376
0.021266 0.042545 135.9351
0.033417 0.033724 166.4964
0.04116 0.021415 171.9298
0.061703 0.082783 133.701
0.059645 0.007893 206.392
0.013405 0.081471 77.1354
0.047539 0.056781 328.8571
0.074081 0.043843 297.1954
0.03781 0.023118 244.6948
0.036246 0.016644 246.7326
0.005984 0.076053 130.6791
0.005129 0.047552 249.7162
0.047489 0.074371 103.4226
0.025283 0.075862 102.9086
0.050116 0.063711 55.2057
0.041624 0.017951 229.9189
0.036479 0.056183 163.8028
0.022524 0.058342 51.6991
0.047076 0.046281 7.1881
0.051335 0.03033 272.1618
0.084109 0.005672 209.9741
0.043978 0.077854 154.1568
0.052263 0.039143 109.5613
0.007399 0.037679 71.7005
0.041294 0.027208 184.6523
0.061826 0.013034 238.9687
0.0689 0.025165 302.0191
0.037752 0.052337 23.143
0.008521 0.069498 254.6251
0.065489 0.063636 123.0529
0.039251 0.006432 309.2107
0.076706 0.084947 48.9839
0.070809 0.063073 359.3362
0.005032 0.032212 228.6645
0.05763 0.022999 44.6114
0.064018 0.038253 42.4799
0.064679 0.053001 100.1973
=======
0.040716 0.084572 99.5966
0.006696 0.034488 303.3397
0.013395 0.022523 145.7889
0.015313 0.025647 102.0462
0.073114 0.071385 163.69
0.063686 0.059521 12.3539
0.035227 0.055475 142.5012
0.013687 0.005324 182.4504
0.031557 0.080927 90.4872
0.009231 0.069097 135.7476
0.084578 0.06293 154.2093
0.04686 0.075287 83.321
0.032684 0.039401 314.6008
0.03676 0.025787 76.6283
0.057267 0.027992 83.8914
0.083696 0.039161 98.1464
0.014087 0.071965 60.9275
0.083303 0.032731 42.2495
0.045801 0.029727 40.7502
0.042644 0.055747 150.231
0.072085 0.03539 107.8281
0.025515 0.010905 31.4479
0.008908 0.038257 241.0296
0.078649 0.022467 310.9813
0.046437 0.017078 332.5677
0.010257 0.079418 99.6357
0.070483 0.014465 72.3404
0.071689 0.079007 241.7687
0.07649 0.055377 239.9844
0.048399 0.079472 292.4793
0.03154 0.009354 39.0397
0.007104 0.079388 260.3011
0.071032 0.063701 117.8967
0.061789 0.009945 325.4462
0.025505 0.03004 85.7966
0.017905 0.019463 147.7688
0.022618 0.034159 2.3906
0.042102 0.028531 237.9668
0.006677 0.027418 33.7591
0.030838 0.021983 299.9138
0.021774 0.075731 334.9627
0.050827 0.059638 300.7303
0.039824 0.062804 356.1261
0.019511 0.080981 158.9311
0.019178 0.035961 28.5024
0.019617 0.028901 259.6968
0.080946 0.055387 263.2905
0.039256 0.016902 97.7353
0.02809 0.015726 160.7656
0.046438 0.022632 258.2327
0.0811 0.063879 110.1348
0.03583 0.04692 221.6409
0.071377 0.023061 165.767
0.066125 0.011106 314.5235
0.038403 0.071898 198.5272
0.054862 0.066019 156.5936
0.074641 0.050711 323.7965
0.060308 0.049282 141.5139
0.071701 0.03173 185.2383
0.068345 0.073798 127.3884
0.067093 0.079588 348.1225
0.011869 0.038826 66.8099
0.060211 0.031813 178.1286
0.042472 0.004814 202.8863
0.041234 0.007707 226.3271
0.061846 0.043765 28.1328
0.059658 0.021448 105.5523
0.076162 0.040096 274.442
0.074848 0.036919 296.6304
0.033764 0.020975 72.594
0.053012 0.07317 4.3413
0.030533 0.004934 134.2557
0.03798 0.050878 4.133
0.045898 0.037652 7.5872
0.065218 0.066005 81.7379
0.006757 0.084446 346.2842
0.017311 0.056026 350.0698
0.066275 0.050617 325.0387
0.010841 0.011116 185.184
0.016966 0.039473 201.1116
0.046917 0.041786 79.997
0.044113 0.061955 303.7329
0.012204 0.033331 69.199
0.040229 0.06616 52.0138
0.00702 0.020223 36.8102
0.04624 0.011112 161.127
0.074606 0.016933 119.3918
0.082416 0.016909 42.6887
0.007057 0.006407 235.3848
0.066835 0.085495 192.0567
0.062246 0.005308 125.1011
0.020872 0.023875 16.5553
0.023294 0.067216 214.3951
0.050629 0.065793 1.6815
0.055169 0.018055 74.4608
0.035614 0.077906 245.7223
0.044945 0.014093 291.9409
0.006618 0.048156 161.0094
0.025205 0.062752 53.0175
0.057847 0.01342 308.5936
0.038427 0.004628 21.3936
0.08031 0.071053 204.8562
0.006701 0.011645 358.5869
0.069003 0.059687 253.3675
0.069796 0.052993 233.4651
0.070687 0.049131 169.1934
0.029222 0.065882 207.5394
0.061308 0.038628 286.9503
0.018694 0.069796 350.1617
0.039329 0.033175 234.1326
0.056237 0.060792 356.6659
0.040774 0.0198 201.6479
0.007105 0.040719 42.9122
0.051446 0.039578 310.7036
0.00793 0.058691 188.1866
0.073113 0.025971 57.3219
0.06672 0.033207 307.8511
0.025772 0.078335 241.5039
0.042739 0.023218 290.5836
0.062301 0.053087 348.6648
0.072847 0.040397 270.7325
0.05136 0.03174 155.8026
0.054469 0.049547 331.9412
0.030953 0.030475 119.3195
0.011613 0.056916 140.503
0.055819 0.057746 135.446
0.030542 0.0341 125.5022
0.064541 0.039007 203.4339
0.012959 0.014669 217.9159
0.076343 0.076786 40.1434
0.050393 0.010467 175.0166
0.06657 0.046809 179.095
0.033804 0.061062 231.4802
0.076195 0.069411 84.5039
0.026788 0.02702 41.7818
0.047221 0.063537 340.3677
0.064878 0.055448 184.1895
0.031327 0.063358 73.2097
0.030569 0.045049 91.0626
0.050987 0.062739 42.3829
0.083381 0.053337 312.6268
0.060517 0.01706 115.8991
0.046107 0.071427 251.0029
0.074724 0.042997 356.7691
0.025679 0.085294 71.7726
0.031698 0.053779 111.7827
0.017378 0.063947 127.7122
0.07815 0.011347 222.0444
0.068106 0.041038 351.7175
0.062322 0.081034 215.5264
0.040624 0.042421 66.8844
0.024053 0.049173 270.9865
0.01295 0.068086 298.2632
0.005679 0.016425 40.555
0.029629 0.059529 334.7165
0.042285 0.03369 182.6089
0.050467 0.014849 34.8375
0.054048 0.036773 81.2207
0.067097 0.004566 196.9994
0.042868 0.048521 121.6021
0.011159 0.082404 36.4882
0.053706 0.023006 255.8866
0.041422 0.03805 54.424
0.026711 0.045661 109.7375
0.005434 0.073053 282.4646
0.031936 0.073506 188.5912
0.02064 0.057429 137.0378
0.084464 0.049562 308.8543
0.065235 0.021108 30.3971
0.072416 0.082537 285.5561
0.046525 0.048581 20.367
0.016701 0.084289 168.8828
0.023933 0.014502 193.5426
0.016614 0.012072 36.792
0.053522 0.084104 322.2807
0.04736 0.052469 197.0564
0.08534 0.004557 157.5629
0.061056 0.057978 202.8047
0.012686 0.042065 99.0847
0.027264 0.021705 82.6397
0.069602 0.028698 107.7165
0.028758 0.083594 205.9733
0.061546 0.065126 115.0083
0.016239 0.078602 56.9667
0.085048 0.058839 305.903
0.056803 0.009983 113.0609
0.075574 0.061884 356.7609
0.082104 0.027581 92.1969
0.080625 0.059078 342.9768
0.049743 0.020539 139.1642
0.046742 0.066958 62.9711
0.017799 0.050957 213.0597
0.005319 0.063368 268.5214
0.082056 0.045988 80.8361
0.049747 0.026914 106.8591
0.02482 0.057353 144.4113
0.040184 0.011738 265.1481
0.079083 0.039141 295.8577
0.078171 0.052611 39.5758
0.064851 0.016693 56.6799
>>>>>>> 21ac6abfd2aa55aee7fb1c8dbfa2a4771e65f6d1
